1.0.2,1.10.1,0.010625171373731835
1.0,1.12.1,0.011842373919553529
1.3.1,3.1.0,0.042283298097251586
1.1.3,1.8.0,0.01531414507417789
1.2,2.1.4,0.010058850536332903
1.12.2,3.3.0,0.4732114382906346
1.10.1,3.4.1,0.3196084077166715
1.7.0,1.7.1,0.9416039780696163
2.1.2,3.3.1,0.2616273312427793
1.11.0,2.2.3,0.304733145145408
1.0.4,2.0.3,0.012580414581844175
1.0.2,1.8.3,0.008854416912622691
1.0.1,3.1.1,0.016396888795459322
1.2.6,2.2.3,0.025434962717481358
1.1.1,2.2.2,0.01732304777371769
1.4,2.2.2,0.055167805167805166
1.2.1,1.4.0,0.08927222362125409
1.11.0,1.2,0.010235619957451933
1.5,1.7.1,0.4793874341970329
2.1.0,3.4.1,0.2519467718087728
1.6.2,2.1.4,0.0747094244503571
1.0.1,1.0.3,0.9119619662110535
1.2.2,1.6.3,0.052106027596223674
1.12.4,1.6.1,0.14231153416769493
1.4.0,1.5,0.48817021276595746
1.12.0,1.6.3,0.1559986009094089
1.3.0,2.1.0,0.016957248626701695
1.12.4,3.4.0,0.4597363029889163
1.11.2,2.2.3,0.31204696775886387
1.1.3.1,1.12.4,0.014610588091453724
1.2,1.5.2,0.04476410823860778
1.2.5,1.6.0,0.059058695257132476
1.12.3,2.2.4,0.6663887499305208
1.8.2,1.9.0,0.6526567241267996
1.2.5,1.8.2,0.020844373785550256
2.2.4,3.3.0,0.6636138892010338
1.12.3,1.4.1,0.06141558799228863
1.3,2.1.3,0.0168839919147081
1.0.4,1.11.2,0.00746397594941083
1.4,1.4.1,0.9600922490724957
1.0,1.11.0,0.006342182890855457
1.3,2.2.0,0.03346394984326019
1.4,1.8.3,0.12975900777141064
1.12.2,1.9.1,0.5725628839689347
1.7,1.7.2,0.8647914032869785
2.0.0,2.1.0,0.39962678532979257
1.2.2,3.1.0,0.035771963824289404
1.6.3,3.1.0,0.1241433209089816
1.8.3,3.4.1,0.20379338175948344
1.0.3,1.10.1,0.00894901144640999
2.0.2,2.1.0,0.41969376411948217
1.1.3.1,3.4.1,0.01571254567600487
1.4.3,1.8.0,0.18575874333135745
1.5.1,1.6,0.7929261343895491
1.11.2,1.4,0.0344366432631227
1.1.1,1.8.0,0.01611293312419792
1.11.0,3.3.1,0.21629231458373327
1.5.2,1.8.2,0.3104874245813843
1.2.3,2.0.3,0.023396298782241826
1.0.2,1.8.2,0.008862933699759533
1.12.1,1.7,0.19769850402761796
1.4,1.8.2,0.1294302554027505
1.1.3.1,1.4,0.04359603826293067
1.11.3,1.3.0,0.01613395377221756
1.12.2,1.2.4,0.023136443729410865
1.5.0,3.3.0,0.07207598708716166
1.3.1,1.7.2,0.0612144554617717
1.12.4,1.5.0,0.09733046946916232
1.7.0,2.1.0,0.0942969483976478
1.4,1.7,0.24787258958544772
